StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,DemographicQ1,DemographicQ2,DemographicQ2_5_TEXT,DemographicQ3,DemographicQ4,DemographicQ5,SmellsQ1,SmellsQ2_1,SmellsQ2_2,SmellsQ2_3,SmellsQ2_4,SmellsQ2_5,SmellsQ2_6,SmellsQ2_7,SmellsQ2_8,SmellsQ2_9,SmellsQ2_10,SmellsQ2_11,SmellsQ3_1,SmellsQ3_2,SmellsQ3_3,SmellsQ3_4,SmellsQ3_5,SmellsQ3_6,SmellsQ3_7,SmellsQ3_8,SmellsQ3_9,SmellsQ3_10,SmellsQ3_11,SmellQ1,SmellQ2,SmellQ3,SmellQ4,SmellQ5,Smell2Q1,Smell2Q2,Smell2Q3,Smell2Q4,Smell2Q5,AdditionalsQ1,smell,description,example,solution,smell2,description2,example2,solution2
2022-06-07 11:11:18,2022-06-07 11:11:49,IP Address,4,30,False,2022-06-14 11:11:53,R_20VDNOgAp4TwYy5,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 11:28:15,2022-06-07 11:29:50,IP Address,38,94,False,2022-06-14 11:29:55,R_3EMyafQOnQPtcUW,anonymous,EN,United States of America,Other,,<1 year,JavaScript,"MongoDB Node.js Driver,Mongoose",Use of relational collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-07 20:16:42,2022-06-07 20:40:02,IP Address,58,1400,False,2022-06-14 20:40:05,R_1hDNTCTCOFNxjG5,anonymous,EN,Australia,Developer,,<1 year,Java,Spring Data MongoDB,"Separating data accessed together,Use of relational collections,Storage of empty values,Human readable values,Inconsistent attribute order,Database accesses spread across the system,Storage of easily computed values,Abusive use of indexes",Regularly - I see them as recurring problems in our projects.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,"Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it",Unsure - Cannot answer,"Significantly – Yes, I would refactor it","Somewhat – Yes, but I would not refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Yes, but it's a partial fix to the problem.",,,,,,,,,,,Too long attribute name,"<p>Meaningful names are important, but too long attribute names have storage overhead in BSON.
Read more <a href=""https://www.linkedin.com/pulse/big-data-anti-patterns-marc-kenig/"" target=""_blank"">here</a>.</p>","<p>Suppose the following collection:</p>
<pre><code>db={
  ""books"": [
    {
      ""_id"": 1,
      ""international_standard_book_number"": 9780140817744,
      ""author"": ""George Orwell"",
      ""title"": ""1984"",
    },
    {
      ""_id"": 2,
      ""international_standard_book_number"": 9780631120001,
      ""author"": ""Ludwig Wittgenstein"",
      ""title"": ""On certainty"",
    }    
  ]
}</code></pre>","The <code>international_standard_book_number</code> attribute name can be shortened to <code>isbn</code>:
<pre><code>db={
  ""books"": [
    {
      ""_id"": 1,
      ""isbn"": 9780140817744,
      ""author"": ""George Orwell"",
      ""title"": ""1984"",
      
    },
    {
      ""_id"": 2,
      ""isbn"": 9780631120001,
      ""author"": ""Ludwig Wittgenstein"",
      ""title"": ""On certainty"",
      
    }
  ]
}</code></pre>",,,,
2022-06-08 03:42:54,2022-06-08 03:43:28,IP Address,31,33,False,2022-06-15 03:48:42,R_1DI3OTM0v65QWmq,anonymous,EN,France,Developer,,1-2 years,JavaScript,Mongoose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-16 04:02:35,2022-06-16 05:21:47,IP Address,100,4751,True,2022-06-16 05:21:47,R_10CPUTpuYynPtBB,anonymous,EN,Belgium,Other,Researcher,3-4 years,JavaScript,MongoDB Node.js Driver,"Relying on transactions,Too long attribute name,Human readable values,Storage of easily computed values",Never,Never,Sometimes - I observed them only in few projects and commits.,Never,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Never,Never,Never,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,"Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it",No – I would not refactor it,"Significantly – Yes, I would refactor it",No – I would not refactor it,"Somewhat – Yes, but I would not refactor it","Somewhat – Yes, but I would not refactor it",Unsure - Cannot answer,Unsure - Cannot answer,"Somewhat – Yes, but I would not refactor it","Significantly – Yes, I would refactor it","Yes, it fixes the problem.",,,No,,"Yes, it fixes the problem.",,,No,,,Database accesses spread across the system,"<p>Implementing database communication with the DAO or Repository pattern is a good practice. When the implementation does not follow a proper design and database accesses are spread across the system, it can significantly degrade maintainability. A change to a collection must be propagated to the source code, which becomes even riskier when multiple files have to be modified.</p>",<p>Suppose a project with a few collections where the queries are spread across various files in the project.</p>,<p>Implement a DAO for each collection and move the queries to the DAO classes.</p>,Storage of easily computed values,"<p>Storing easily calculated values unnecessarily takes storage space. Rarely they can improve performance, but their storage is unnecessary when they can be easily calculated.</p>","<p>Suppose the following collection:</p>
<pre><code>db={
  ""beers"": [
    {
      ""_id"": 1,
      ""name"": ""Lupulus Hibernatus"",
      ""bottle_case_size"": 24,
      ""bottle_liter_capacity"": 0.33,
      ""liter_per_case"": 7.92
    },
    {
      ""_id"": 2,
      ""name"": ""Maes Pils"",
      ""bottle_case_size"": 24,
      ""bottle_liter_capacity"": 0.25,
      ""liter_per_case"": 6
    }
  ]
}</code></pre>","The <code>liter_per_case</code> can be deleted as the program can compute it when needed:
<pre><code>db={
  ""beers"": [
    {
      ""_id"": 1,
      ""name"": ""Lupulus Hibernatus"",
      ""bottle_case_size"": 24,
      ""bottle_liter_capacity"": 0.33,
    },
    {
      ""_id"": 2,
      ""name"": ""Maes Pils"",
      ""bottle_case_size"": 24,
      ""bottle_liter_capacity"": 0.25,
    }
  ]
}</code></pre>"
2022-06-17 03:15:07,2022-06-17 04:20:30,IP Address,100,3922,True,2022-06-17 04:20:31,R_3MLIbRmdLAmXPai,anonymous,EN,Switzerland,Developer,,5-7 years,"Java,JavaScript","Mongoose,Spring Data MongoDB","Use of relational collections,Database accesses spread across the system,Storage of easily computed values",Regularly - I see them as recurring problems in our projects.,Regularly - I see them as recurring problems in our projects.,Never,Never,Never,Never,Never,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Never,"Significantly – Yes, I would refactor it","Somewhat – Yes, but I would not refactor it","Somewhat – Yes, but I would not refactor it","Somewhat – Yes, but I would not refactor it",No – I would not refactor it,Unsure - Cannot answer,No – I would not refactor it,"Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it",Unsure - Cannot answer,"Yes, it fixes the problem.",,,No,,"Yes, it fixes the problem.",,,No,,,Database accesses spread across the system,"<p>Implementing database communication with the DAO or Repository pattern is a good practice. When the implementation does not follow a proper design and database accesses are spread across the system, it can significantly degrade maintainability. A change to a collection must be propagated to the source code, which becomes even riskier when multiple files have to be modified.</p>",<p>Suppose a project with a few collections where the queries are spread across various files in the project.</p>,<p>Implement a DAO for each collection and move the queries to the DAO classes.</p>,Inconsistent attribute order,"<p>MongoDB allows flexibility, but a consistent attribute order is necessary when searching for documents. Breaking this rule can lead to incomplete query results.</p>","<p>Suppose the following collection:</p>
<pre><code>db={
  ""books"": [
    {
      ""_id"": 1,
      ""isbn"": 9780140817744,
      ""author"": {
        ""surname"": ""Orwell"",
        ""firstname"": ""George""
      },
      ""title"": ""1984"" 
    },
    {
      ""_id"": 2,
      ""isbn"": 9780631120001,
      ""author"": {
        ""firstname"": ""Ludwig"",
        ""surname"": ""Wittgenstein""
      },
      ""title"": ""On certainty""
    }
  ]
}</code></pre>

<p>The following query would not result in any document because of the wrong field order:</p>
<pre><code>
db.books.find({
  ""author"": {
    ""firstname"": ""George"",
    ""surname"": ""Orwell""
  }
})</code></pre>","The order of author's attributes should be consistent:

<pre><code>db={
  ""books"": [
    {
      ""_id"": 1,
      ""isbn"": 9780140817744,
      ""author"": {
        ""firstname"": ""George"",
        ""surname"": ""Orwell""
      },
      ""title"": ""1984""
    },
    {
      ""_id"": 2,
      ""isbn"": 9780631120001,
      ""author"": {
        ""firstname"": ""Ludwig"",
        ""surname"": ""Wittgenstein""
      },
      ""title"": ""On certainty""
    } 
  ]
}</code></pre>"
2022-06-10 21:47:19,2022-06-10 21:52:16,IP Address,38,296,False,2022-06-17 21:52:17,R_1M0UZZP1x2NhTjc,anonymous,EN,Peru,Developer,,1-2 years,JavaScript,Mongoose,Database accesses spread across the system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-12 16:28:53,2022-06-12 16:29:23,IP Address,31,29,False,2022-06-19 16:29:29,R_1C2x5ccGx1EVmnq,anonymous,EN,United Kingdom of Great Britain and Northern Ireland,Developer,,<1 year,JavaScript,"MongoDB Node.js Driver,Mongoose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 06:45:31,2022-06-14 06:45:50,IP Address,4,18,False,2022-06-21 06:45:57,R_TjDgcg2XmgCdi9j,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 08:05:03,2022-06-14 08:07:40,IP Address,42,157,False,2022-06-21 08:07:43,R_2uQYsZIpd1e0na8,anonymous,EN,Germany,Developer,,3-4 years,JavaScript,MongoDB Node.js Driver,"Separating data accessed together,Use of relational collections",Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 08:08:33,2022-06-14 08:09:17,IP Address,31,44,False,2022-06-21 08:09:23,R_UckZvvOkt5VnlUB,anonymous,EN,Canada,Other,Student bootcamp ,<1 year,JavaScript,Mongoose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 08:22:39,2022-06-14 08:25:19,IP Address,50,159,False,2022-06-21 08:25:20,R_3Dc09YIjx2bjgD6,anonymous,EN,India,Developer,,1-2 years,Java,Spring Data MongoDB,Storage of easily computed values,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,"Significantly – Yes, I would refactor it","Somewhat – Yes, but I would not refactor it",Unsure - Cannot answer,"Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it",Unsure - Cannot answer,"Significantly – Yes, I would refactor it","Significantly – Yes, I would refactor it","Somewhat – Yes, but I would not refactor it",Unsure - Cannot answer,"Significantly – Yes, I would refactor it",,,,,,,,,,,,Too long document keys,"<p>MongoDB automatically indexes document keys (ids). Unnecessarily long ids take space in index files in addition to the space they take in each document. A typical example is the use of UUIDs. While convenient, they can generate large index files inducing performance & space issues.
Read more <a href=""https://www.tutorialfor.com/blog-198278.htm"" target=""_blank"">here</a>.</p>","<p>Suppose the following collection:</p>
<pre><code>db={
  ""users"": [
    {
      ""_id"": ""a644be96-c4a3-11ec-9d64-0242ac120002"",
      ""firstname"": ""John"",
      ""surname"": ""Doe"",
      ""job"": ""Farmer""
    },
    {
      ""_id"": ""bef9d016-c4a3-11ec-9d64-0242ac120002"",
      ""firstname"": ""Alan"",
      ""surname"": ""Turing"",
      ""job"": ""Postdoctoral assistant""
    }
  ]
}</code></pre>

<p>One can insert a new document into this collection as follows:</p>
<pre><code>db.users.insert({""_id"": new UUID(), ""firstname"": ""Ada"", ""surname"": ""Lovelace"", ""job"": ""Programmer""})</code></pre>","<p>Use the native MongoDB ObjectId as a shorter alternative of UUID (see <a href=""https://www.mongodb.com/docs/manual/reference/method/ObjectId/"">here</a>):</p>

<pre><code>db={
  ""users"": [
    {
      ""_id"": ""3ca3913d1a647164c521c033"",
      ""firstname"": ""John"",
      ""surname"": ""Doe"",
      ""job"": ""Farmer""
    },
    {
      ""_id"": ""50a8da644a0d2e94f6e1e319"",
      ""firstname"": ""Alan"",
      ""surname"": ""Turing"",
      ""job"": ""Postdoctoral assistant""
    }
  ]
}</code></pre>

<p>One can insert a new document into this collection as follows:</p>
<pre><code>db.users.insert({""firstname"": ""Ada"", ""surname"": ""Lovelace"", ""job"": ""Programmer""})</code></pre>",,,,
2022-06-14 09:46:40,2022-06-14 09:47:09,IP Address,31,29,False,2022-06-21 09:47:17,R_UrS6drna2N4Dlfz,anonymous,EN,Turkey,Developer,,1-2 years,Other,Mongoose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 10:46:14,2022-06-14 10:50:08,IP Address,42,233,False,2022-06-21 10:50:14,R_XA4BElFifBqqXM5,anonymous,EN,Egypt,Developer,,5-7 years,JavaScript,MongoDB Node.js Driver,"Separating data accessed together,Use of relational collections,Relying on transactions,Database accesses spread across the system,Abusive use of indexes",Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Never,Never,Never,Never,Never,Never,Sometimes - I observed them only in few projects and commits.,Sometimes - I observed them only in few projects and commits.,Regularly - I see them as recurring problems in our projects.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-06-14 18:15:04,2022-06-14 18:15:31,IP Address,4,27,False,2022-06-21 18:15:37,R_2YoesZG5hfRufNn,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
